66 96737,Ocean View,HI,Hawaii,19.1002,-155.7258,2.30755039524189E-0,
67 97134,Oceanside,OR,Tillamook,45.4549,-123.965,5.91346339395837E-0,
77 63701,Cape Girardeau,MO,Cape Girardeau,37.3169,-89.5459,6.46512901018026E-0,
58 88250,Hope,NM,Eddy,32.8156,-104.7299,6.46884710547857E-0,
63 64444,Edgerton,MO,Platte,39.4742,-94.6352,7.12756827043748E-0,
64 15450,La Belle,PA,Fayette,39.9983,-79.9754,7.28718402164263E-0,
70 94278,Sacramento,CA,Sacramento,38.5816,-121.4944,7.65976520055167E-0,
66 97875,Stanfield,OR,Umatilla,45.786,-119.2116,8.28667768709712E-0,
64 68113,Offutt Afb,NE,Sarpy,41.2563,-95.9404,8.69287484440706E-0,
65 61536,Hanna City,IL,Peoria,40.6798,-89.7952,0.00011521731525676,
65 96837,Honolulu,HI,Honolulu,21.315,-157.8633,0.00012888305361069,
74 93465,Templeton,CA,San Luis Obispo,35.5551,-120.7107,0.00015856565894845,
63 92807,Anaheim,CA,Orange,33.8544,-117.7858,0.00016285352592038,
64 29936,Ridgeland,SC,Jasper,32.4807,-80.9804,0.00016468819569415,
59 45646,Latham,OH,Pike,39.0804,-83.3283,0.00018397135478709,
61 98119,Seattle,WA,King,47.6379,-122.3643,0.00019190813438940,
66 18660,Wapwallopen,PA,Luzerne,41.068,-76.0857,0.00022037518629713,
61 45769,Pomeroy,OH,Meigs,39.0607,-82.0331,0.00024620545394882,
62 72450,Paragould,AR,Greene,36.06,-90.5251,0.00026601425698147,
60 14058,Elba,NY,Genesee,43.0897,-78.1704,0.00027149716579577,
58 16023,Cabot,PA,Butler,40.7924,-79.76,0.00027723097060339,
66 38041,Henning,TN,Lauderdale,35.6593,-89.6962,0.00027983371048834,
62 38754,Isola,MS,Humphreys,33.2471,-90.604,0.00029004058364767,
64 12592,Wassaic,NY,Dutchess,41.7759,-73.5544,0.00029578077449676,
61 74761,Swink,OK,Choctaw,34.0179,-95.2022,0.00032477089845162,
69 33862,Lake Placid,FL,Highlands,27.2931,-81.3629,0.00037501809388285,
65 55329,Eden Valley,MN,Meeker,45.302,-94.6039,0.00041093415899295,
61 28692,Vilas,NC,Watauga,36.2574,-81.7652,0.00042610452274771,
61 56563,Moorhead,MN,Clay,46.8739,-96.7695,0.00046060042722029,
61 95913,Artois,CA,Glenn,39.6197,-122.1927,0.00051816153576911,
67 62794,Springfield,IL,Sangamon,39.7495,-89.606,0.00054726849802877,
61 4022,Denmark,ME,Oxford,43.9755,-70.7924,0.00057969459339690,
59 71748,Ivan,AR,Dallas,33.9118,-92.4246,0.00060015888088682,
73 76908,Goodfellow Afb,TX,Tom Green,31.4321,-100.4022,0.00063939104701804,
63 73083,Edmond,OK,Oklahoma,35.6665,-97.4654,0.00064895285936306,
70 85376,Sun City West,AZ,Maricopa,33.662,-112.3413,0.00073876045744680,
64 38769,Rosedale,MS,Bolivar,33.8432,-90.9923,0.00074409116782370,
64 71461,New Llano,LA,Vernon,31.1149,-93.2716,0.00075035500675957,
66 34637,Land O Lakes,FL,Pasco,28.2782,-82.4625,0.00077926107720238,
62 80479,Toponas,CO,Routt,40.0603,-106.8081,0.00081665128336572,
62 80236,Denver,CO,Denver,39.6535,-105.0376,0.00084212284342877,
68 51536,Hancock,IA,Pottawattamie,41.3832,-95.3445,0.0009053593759409,
62 88124,Melrose,NM,Curry,34.4479,-103.6325,0.00090871358181476,
63 37755,Helenwood,TN,Scott,36.4329,-84.5381,0.00091775823075235,
66 37769,Lake City,TN,Anderson,36.2032,-84.1386,0.00091853478167602,
61 74631,Blackwell,OK,Kay,36.8006,-97.2867,0.00094216647645872,
